,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
110,Roasted Cauliflower,Bistro,Dinner,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",Cauliflower tossed in olive oil and roasted with salt and pepper,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
111,Steamed Garlic Green Beans,Bistro,Dinner,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",Fresh green beans sauteed with garlic and lightly seasoned,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
112,Savory White Beans,Bistro,Dinner,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']","White beans with celery, tomatoes, and herbs",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
113,Pepperoni Pizza,Saucey,Dinner,"Monday, January 31, 2022",[],"Pizza topped with pepperoni, Mozzarella, and Parmesan cheese.",1 SLC,233.42,9.36,27.67,8.99,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), pepperoni (pork, beef, salt. Contains 2% or less of water, spice, seasoning [cane sugar, celery juice powder], seasoning [extractives of paprika, natural spice extractives], lactic acid starter culture), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), canola oil, garlic powder, Italian seasoning, house-made pizza sauce (pear tomatoes, garlic, salt, ground black pepper, oregano, Italian seasoning, basil, ground Cayenne pepper, thyme, marjoram)"
114,Spinach Alfredo Pizza,Saucey,Dinner,"Monday, January 31, 2022","['Vegetarian', 'Halal']","Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.",1 slice,230.91,8.24,29.69,8.97,Dairy/Mushroom/Soy/Egg/Gluten/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning"
115,Hot & Sour Soup,Fresh Inspirations,Dinner,"Monday, January 31, 2022",[],"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",N/A,N/A,N/A,N/A,N/A,"MUSHROOM, GLUTEN, SOY, WHEAT",
116,Split Pea Soup,Fresh Inspirations,Dinner,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
117,Spicy Pork and Mustard Greens Soup,Fresh Inspirations,Dinner,"Monday, January 31, 2022",[],Delicious yet spicy pork soup with mustard greens!,N/A,N/A,N/A,N/A,N/A,"GLUTEN, SOY, WHEAT, FISH",
118,Curried Tortellini Salad,Fresh Inspirations,Dinner,"Monday, January 31, 2022","['Vegetarian', 'Halal']",Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,1/2 cup,166.21,10.29,16.37,2.74,Egg/Soybean Oil/Dairy/Gluten/Wheat,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper"
119,Red Skin Potato Salad with Eggs,Fresh Inspirations,Dinner,"Monday, January 31, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
120,Classic California Pasta Salad,Fresh Inspirations,Dinner,"Monday, January 31, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
121,Deli Bar,Fresh Inspirations,Dinner,"Monday, January 31, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
122,Caesar Salad,Fresh Inspirations,Dinner,"Monday, January 31, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
123,Lemon & Cream Shortcake,Harvest Bakery,Dinner,"Monday, January 31, 2022","['Vegetarian', 'Halal']","Per manufacturer, may contain peanuts, tree nuts, and soy.",1 slice,260,14,31,3,Dairy/Egg/Gluten/Peanuts/Soy/Soybean Oil/Tree Nuts/Wheat,"Lemon filling sugar, water, liquid whole eggs, palm and soybean oil shortening, concentrated lemon juice, modified corn starch, lemon puree, natural flavor, turmeric, whipping cream (cream, milk, carrageenan, cellulose gel, cellulose gum), sugar, enriched bleached wheat flour (wheat flour, niacin, iron, thiamine, riboflavin, folic acid), water, eggs, canola oil, confectioner`s sugar (sugar, corn starch), nonfat dry milk, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate, calcium sulfate), modified food starch, salt, alginate blend (tetrasodium diphosphate, sodium alginate), natural flavor. Per manufacturer, may contain peanuts, soy, and tree nuts"
124,Oatmeal Cookie,Harvest Bakery,Dinner,"Monday, January 31, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,360,14,52,6,Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,"Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
125,Platform Hours 7am-10am,Go Live,Breakfast,"Tuesday, February 01, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
126,Southwestern Omelet,Go Live,Breakfast,"Tuesday, February 01, 2022",[],"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream",1 SV,1161.33,113.66,3.52,36.34,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion"
127,Cheese Omelet,Go Live,Breakfast,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']",Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,1 EA,616.95,53.92,0.51,30.24,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
128,Diced Potatoes,Go Live,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal']",Savory diced potatoes deep fried until golden brown,4 oz,160.43,9.9,15.32,1.33,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Diced hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), canola oil"
129,House Roasted Salsa,Go Live,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,No Major Allergens,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
130,Eggs Fried to Order,Go Live,Breakfast,"Tuesday, February 01, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
131,Vanilla Chia Seed Pudding,Fresh Inspirations,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal']",Vanilla chia seed pudding made with coconut milk,1 SV,448.79,41.51,20.46,5.24,Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla"
132,Housemade Granola,Fresh Inspirations,Breakfast,"Tuesday, February 01, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
133,Fruit Salad,Fresh Inspirations,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,No Major Allergens,"Cantaloupe, pineapple, red grapes, honeydew melon"
134,Oatmeal,Fresh Inspirations,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
135,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Tuesday, February 01, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
136,Mini Plain Bagel,Harvest Bakery,Breakfast,"Tuesday, February 01, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,1.5,71,12.99,Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
137,Banana Walnut Bread,Harvest Bakery,Breakfast,"Tuesday, February 01, 2022",['Vegetarian'],(may contain: peanuts),1 slice,243.64,14.54,25.82,3.27,Alcohol/Dairy/Egg/Gluten/Soy/Tree Nuts/Wheat,"Sugar, enriched wheat flour bleached (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), modified food starch, soybean oil, dry whey [milk], leavening (sodium aluminum phosphate, baking soda), salt, vital wheat gluten, propylene glycol mono & diglycerides of fatty acids, mono and diglycerides, sodium steroyl latylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid (dough conditioner), alpha tocopherol as preservative, citric acid, eggs, soybean oil, walnuts, banana, flavor (natural flavor, ethyl alcohol, water), potassium sorbate"
138,Bear Claw,Harvest Bakery,Breakfast,"Tuesday, February 01, 2022",['Vegetarian'],(may contain: peanuts),each,240,15,22,5,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Tree Nuts/Wheat,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk (with vitamin D3), butter (pasteurized cream, natural flavors), sugar, yeast, salt, unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene, water, palm oil, natural almonds, almond paste (almonds, sugar, water, potassium sorbate, natural and artificial flavor), eggs, unbleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), pure cane sugar, unsweetened chocolate (natural cocoa, vegetable shortening [soybean oil, vegetable mono and diglycerides, tocopherols, vitamin C palmitate], soybean oil, emulsifiers [soy lecithin, water, polyglycerol esters, diacetyl tartaric acid esters of mono and diglycerides], cocoa [processed with alkali], sugar, salt, corn starch, natural and artificial flavors), corn syrup, apricot glaze, vanilla extract (alcohol, bourbon vanilla beans, and water), natural almond emulsion. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
139,Maple Donut Vegan,Harvest Bakery,Breakfast,"Tuesday, February 01, 2022",['Vegan'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy.",each,370,21,43,4,Alcohol [vanilla extract]/Gluten/Soy/Wheat,"Donut ingredients: unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Icing ingredients: powdered sugar, corn syrup, maple extract, vanilla extract (alcohol, bourbon vanilla beans, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy."
140,Pasta Bar,Go Live,Lunch,"Tuesday, February 01, 2022",[],"Featuring our house made marinara, alfredo and bolognese sauces with vegetables",self select,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
141,Shredded Chicken,Go Live,Lunch,"Tuesday, February 01, 2022","['Halal', 'Nourish']",,3.5 oz,80.44,3.66,0.05,11.1,No Major Allergens,"Halal chicken thighs, chicken broth (water, roasted and cooked chicken meat, salt, sugar, chicken fat, corn starch, hydrolyzed corn protein, autolyzed yeast extract, potassium chloride, maltodextrin, chicken broth, natural flavors, disodium inosinate, disodium guanylate, cooked chicken powder, turmeric), canola/olive oil blend"
142,Italian Meatballs,Go Live,Lunch,"Tuesday, February 01, 2022",[],Beef meatballs baked with Italian seasoning,3.5 oz,294.12,22.35,7.06,16.47,Dairy/Egg/Gluten/Soy/Wheat,"Beef meatballs (beef, water, wheat flour, seasoning [Romano cheese {pasteurized milk, cheese cultures, salt, enzymes}, salt, whole egg powder, dried garlic, dried parsley, spice, brown sugar, caramel color], texturized soy protein concentrate [soy protein concentrate, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, vitamin B6, riboflavin, vitamin B12], soy protein concentrate, eggs, sodium phosphate)"
143,BBQ Chicken Thigh,Bistro,Lunch,"Tuesday, February 01, 2022",['Halal'],Chicken grilled and tossed in BBQ sauce,3.5 oz,163.51,8.35,5.05,16.17,No Major Allergens,"Halal chicken drumsticks, Cannonball BBQ sauce (sugar, distilled vinegar, water, tomato paste, molasses, modified potato starch, salt. Contains less than 2% of natural smoke flavor, mustard flour, spice, paprika, dried onion, dried garlic, caramel color, maltodextrin, chili powder [chili pepper, spice, salt, garlic], autolyzed yeast extract, natural flavor), dark chili powder, kosher salt, light brown beet sugar, garlic powder, smoked paprika, ground dry mustard, ground black pepper"
144,Herb Roasted Red Potatoes,Bistro,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Roasted red potatoes tossed with herbs and lemon juice,3 oz,64.73,1.15,12.72,1.51,No Major Allergens,"Red potatoes, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, thyme, Mediterranean oregano"
145,Sauteed Garlic Green Beans,Bistro,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Fresh green beans sauteed with garlic and lightly seasoned, 3 oz,49.27,2.81,6.02,1.55,No Major Allergens,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
146,Southwest Black Beans,Bistro,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","Black beans cooked with bell peppers, onions, and spices.",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
147,Steamed Green Peas,Bistro,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Freshly steamed peas,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
148,Student Farm Rainbow Carrots,Bistro,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","Fresh rainbow carrots, lightly roasted and seasoned",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
149,Make-Your-Own Mongolian BBQ,Pacific Fusion,Lunch,"Tuesday, February 01, 2022",['Halal'],"Mongolian stir-fry with choice of protein, noodles and vegetables",plate,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
150,Vegetable Posole with White Beans,Pacific Fusion,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","A Mexican-style stew prepared with white beans, onions, herbs and chili peppers",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
151,Cheeseburger,Tomato Street Grill,Lunch,"Tuesday, February 01, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
152,Falafel Burger,Tomato Street Grill,Lunch,"Tuesday, February 01, 2022",['Vegan'],Deep-fried house made chickpea patties with cucumber mint spread and harissa pickled onions on a toasted sesame bun.,1 SV,612.43,29.69,72.04,15.56,*Ingredient prepared in a fryer that`s not allergen-free/Soy/Soybean Oil/Sesame/Gluten/Wheat,"House-made falafel patty (garbanzo beans, Panko breadcrumbs [bleached wheat flour, shortening {palm oil}, sugar, yeast, salt], fresh cilantro, bulgur wheat, lemon juice, iodized salt, garlic, ground cumin, crushed red pepper, ground black pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy], vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), vegan mint sauce (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], cucumber, fresh mint, tahini paste [contains sesame], lemon juice), tomatoes, pickled onions (red onion, red wine vinegar, beet sugar, kosher salt, green Jalapeno pepper, ground cumin, ground Cayenne pepper, smoked paprika), canola oil, butter lettuce"
153,Waffle Fries,Tomato Street Grill,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal']",,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,
154,Hawaiian Bacon Pizza,Saucey,Lunch,"Tuesday, February 01, 2022",[],Cheese pizza topped with pineapple and bacon,1 slice,223.25,7.48,29.65,8.58,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Pizza Dough, Pizza Sauce (Tomato, Garlic, Salt, Marjoram, Black Pepper, Italian Seasoning, Oregano, Basil, Cayenne Pepper, Thyme), Mozzarella Cheese, Pineapple, Ham, Garlic Oil"
155,California Veggie Pizza,Saucey,Lunch,"Tuesday, February 01, 2022",['Vegetarian'],"Topped with ranch dressing, cheese, tomatoes, olives, artichoke hearts, and onions",1 slice,260.31,11.84,29.24,8.72,Dairy/Egg/Soybean Oil/Gluten/Soy/Wheat,"Pizza Dough, Artichoke Hearts, Mozzzarella Cheese, Monterey Jack Cheese, Ranch Dressing, Tomato, Parmesan Cheese, Olives, Garlic, Parsley, Green Onion"
156,Split Pea & Ham Soup,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022",[],"Hearty pea soup with ham, celery, onions, and garlic. Seasoned with white pepper and parsley flakes",1 cup,196.17,1.58,33.4,13.05,,"Green split peas, yellow onion, smoked ham (cured with water, salt, dextrose, sodium phosphates, potassium acetate, sodium diacetate, sodium erythorbate, sodium nitrite), celery, cornstarch, ham soup base (ground and formed smoked ham [cured with water, salt, sodium lactate, natural hickory smoke flavor, corn syrup, dextrose, sodium phosphates, sugar, sodium diacetate, sodium erythorbate, sodium nitrite], salt, maltodextrin, sugar, dextrose, hydrolyzed corn protein, natural flavors. Contains 2% or less of corn oil, modified corn starch, disodium inosinate, disodium guanylate, spices, lactic acid), iodized salt, canola oil, garlic, parsley, ground white pepper"
157,Miso Soup,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022",['Vegetarian'],,N/A,N/A,N/A,N/A,N/A,Sesame/Soy/Mushroom,
158,New York Chicken & Walnut Waldorf Salad,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022","['Halal', 'Nourish']","Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.",1/2 cup,177.7,12.45,11.42,6.68,Alcohol [vanilla extract]/Dairy/Egg/Soybean Oil/Tree Nuts,"Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt"
159,Red Skin Potato Salad with Eggs,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
160,Classic California Pasta Salad,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
161,Chopped Salad,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022",[],"Chopped romain lettuce, olives, crutons, cucumbers, and tomatoes.",1 EA,-1,-1,-1,-1,,
