,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
119,Barbacoa Omelet,[],"Tuesday, February 15, 2022",Breakfast,Seasonality West, 1 SV, 1183.36, 113.42, 5.74, 42.11,"Fluffy egg omelet stuffed with barbacoa beef, Gouda cheese, and roasted onions & peppers",Egg/Tree Nuts/Dairy,"Cage-free eggs, canola/olive oil blend, Barbacoa beef (beef shoulder, yellow onion, apple cider vinegar, dried Anaheim chile, garlic, salt, dark chili powder, cumin, ground black pepper, cloves, Mediterranean oregano, thyme), smoked Gouda cheese, house-made roasted yellow pepper phesto"" (yellow bell pepper, extra virgin olive oil, walnuts, fresh basil, garlic, kosher salt, crushed red pepper), red and green bell peppers, yellow onion"""
120,Cheese Omelet,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Breakfast,Seasonality West, 1 EA, 616.95, 53.92, 0.51, 30.24,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
121,Vanilla Chia Seed Pudding with Blueberrries,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Breakfast,harvest bakery, 1 serving, 392.93, 36.34, 17.91, 4.59,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds"
122,Housemade Granola,"['Vegetarian', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Breakfast,Fresh Inspirations, 1/2 cup, 360.18, 17.33, 47.13, 8.03,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
123,Fruit Salad,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Breakfast,Fresh Inspirations,  1/2 Cup, 42.3, 0.64, 9.79, 0.49,A delicious and nutritious blend of fresh fruit!,,"Cantaloupe, pineapple, red grapes, honeydew melon"
124,Oatmeal,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Breakfast,Fresh Inspirations, 7 oz, 105.04, 1.94, 18.85, 3.6,Hot old-fashioned rolled oats (may contain wheat/gluten),Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
125,Hard Boiled Eggs,"['Vegetarian', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Breakfast,Fresh Inspirations, 1 each, 71.5, 4.76, 0.36, 6.28,"Cage-free, hard boiled eggs",Egg,Cage free eggs
126,Sticky Rice,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Breakfast,Fresh Inspirations, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
127,Mini Plain Bagel,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Breakfast,Harvest Bakery, 1 bagel, 359.99, 1.5, 71, 12.99,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
128,Banana Walnut Bread,['Vegetarian'],"Tuesday, February 15, 2022",Breakfast,Harvest Bakery, 1 slice, 243.64, 14.54, 25.82, 3.27,(may contain: peanuts),Alcohol/Dairy/Egg/Gluten/Soy/Tree Nuts/Wheat,"Sugar, enriched wheat flour bleached (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), modified food starch, soybean oil, dry whey [milk], leavening (sodium aluminum phosphate, baking soda), salt, vital wheat gluten, propylene glycol mono & diglycerides of fatty acids, mono and diglycerides, sodium steroyl latylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid (dough conditioner), alpha tocopherol as preservative, citric acid, eggs, soybean oil, walnuts, banana, flavor (natural flavor, ethyl alcohol, water), potassium sorbate"
129,Bear Claw,['Vegetarian'],"Tuesday, February 15, 2022",Breakfast,Harvest Bakery, each, 240, 15, 22, 5,(may contain: peanuts),Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Tree Nuts/Wheat,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk (with vitamin D3), butter (pasteurized cream, natural flavors), sugar, yeast, salt, unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene, water, palm oil, natural almonds, almond paste (almonds, sugar, water, potassium sorbate, natural and artificial flavor), eggs, unbleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), pure cane sugar, unsweetened chocolate (natural cocoa, vegetable shortening [soybean oil, vegetable mono and diglycerides, tocopherols, vitamin C palmitate], soybean oil, emulsifiers [soy lecithin, water, polyglycerol esters, diacetyl tartaric acid esters of mono and diglycerides], cocoa [processed with alkali], sugar, salt, corn starch, natural and artificial flavors), corn syrup, apricot glaze, vanilla extract (alcohol, bourbon vanilla beans, and water), natural almond emulsion. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
130,Maple Donut Vegan,['Vegan'],"Tuesday, February 15, 2022",Breakfast,Harvest Bakery, each, 370, 21, 43, 4,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy.",Alcohol [vanilla extract]/Gluten/Soy/Wheat,"Donut ingredients: unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Icing ingredients: powdered sugar, corn syrup, maple extract, vanilla extract (alcohol, bourbon vanilla beans, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy."
131,Buffalo Chicken Ranch Wrap,['Halal'],"Tuesday, February 15, 2022",Lunch,Seasonality East, 2 tbsp, 29.33, 1.87, 0.51, 2.45,"Chicken, cabbage slaw, cheddar cheese, buffalo sauce and ranch dressing all wrapped in a chipotle tortilla",Dairy/Gluten/Soybean Oil/Wheat/Egg,"Halal chicken thighs, tomato basil tortilla (contains wheat/gluten and soybean oil), mild yellow Cheddar cheese, buttermilk Ranch dressing (contains egg, dairy, and soybean oil), Chipotle coleslaw salad (Green cabbage, house Chipotle Ranch dressing (house ranch dressing [mayonnaise {contains egg and soybean oil}, buttermilk, Ranch dressing dry mix {maltodextrin, salt, onion powder, garlic powder, hydrolyzed corn protein, parsley, guar gum, xanthan gum, dehydrated onion, white pepper, silicon dioxide, natural flavoring, yeast extract, disodium inosinate, disodium guanylate}], chipotle chili paste {water, dried chipotle morita chiles, salt, citric acid, potassium sorbate, sodium benzoate}, lime juice, fresh cilantro), carrots), Frank`s Red Hot buffalo wing sauce (distilled vinegar, aged cayenne red peppers, salt, water, canola oil, paprika, xanthan gum, natural butter type flavor, garlic powder), lettuce, celery"
132,Fresh Aggie Bar,[],"Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
133,Roasted Marinated Beef,['Nourish'],"Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3.5 oz, 168.88, 11.91, 0.51, 14.4,"Tender beef marinated in mustard, garlic and rosemary",Alcohol,"Beef rib, red wine vinegar, canola/olive oil blend, garlic, Dijon mustard (mustard seeds, water, alcohol vinegar, white wine, salt, sodium bisulfite), kosher salt, ground black pepper, fresh rosemary"
134,Shredded Chicken,"['Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3.5 oz, 195.65, 6.57, 0.57, 31.43,Tender chicken shredded and seasoned with our house fajita blend.,,"Boneless skinless halal chicken thighs, house fajita seasoning (seasoned salt [salt, ground paprika, granulated garlic, onion powder, ground white pepper, sugar], sugar, ground cumin, lemon pepper seasoning [salt, spices [including black pepper], citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide, calcium silicate, lemon oil, riboflavin])"
135,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
136,Steamed White Rice,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
137,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
138,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
139,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
140,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
141,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
142,Chimmichurri Sauce,"['Vegan', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
143,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
144,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
145,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
146,Chia Seeds,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 137.73, 8.71, 11.94, 4.69,,,Organic chia seeds
147,Tuna Melt,['Halal'],"Tuesday, February 15, 2022",Lunch,Tomato Street Grill, 1 sandwich, 216.54, 13.63, 12.02, 11.9,Tuna salad and Swiss cheese on sourdough bread. Grilled until golden brown,Dairy/Gluten/Soy/Soybean Oil/Wheat/Egg/Fish,"House made tuna salad (yellowfin tuna, mayonnaise [soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA], celery, sweet green relish [pickles, high fructose corn syrup, corn syrup, distilled vinegar, salt, xanthan gum, spices, sodium benzoate, natural flavor, dehydrated red pepper, turmeric, polysorbate 80], yellow onion, ground white pepper), sourdough sliced bread (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, yeast, soybean oil. Contains 2% or less of sugar, vital wheat gluten, salt, yeast nutrient [ammonium sulfate], ascorbic acid, fumaric acid, sodium diacetate, lactic acid, silicon dioxide, cultured wheat flour, enzymes, nonfat dry milk, soy flour), Swiss cheese (pasteurized part-skim milk, cheese culture, salt, enzymes)"
148,Falafel Burger,['Vegan'],"Tuesday, February 15, 2022",Lunch,Tomato Street Grill, 1 SV, 612.43, 29.69, 72.04, 15.56,Deep-fried house made chickpea patties with cucumber mint spread and harissa pickled onions on a toasted sesame bun.,*Ingredient prepared in a fryer that`s not allergen-free/Soy/Soybean Oil/Sesame/Gluten/Wheat,"House-made falafel patty (garbanzo beans, Panko breadcrumbs [bleached wheat flour, shortening {palm oil}, sugar, yeast, salt], fresh cilantro, bulgur wheat, lemon juice, iodized salt, garlic, ground cumin, crushed red pepper, ground black pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy], vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), vegan mint sauce (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], cucumber, fresh mint, tahini paste [contains sesame], lemon juice), tomatoes, pickled onions (red onion, red wine vinegar, beet sugar, kosher salt, green Jalapeno pepper, ground cumin, ground Cayenne pepper, smoked paprika), canola oil, butter lettuce"
149,Curly Fries,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Lunch,Tomato Street Grill, 3 oz, 204.55, 13.45, 17.61, 1.68,Crispy curly fries lightly seasoned,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
150,Chicken Ranch Pizza,['Halal'],"Tuesday, February 15, 2022",Lunch,Saucey Saute, 1 SLC, 253.25, 10.85, 28.47, 9.59,"Topped with buttermilk Ranch dressing, Halal chicken, bell peppers, onions, and cheese",Dairy/Egg/Soybean Oil/Gluten/Soy/Wheat,"Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), halal chicken breast, buttermilk ranch dressing (cultured low-fat buttermilk, soybean oil, water, distilled vinegar, egg yolks. Contains less than 2% of salt, monosodium glutamate, dried onion, dried garlic, xanthan gum, spices, dried parsley, lactic acid, sodium benzoate, potassium sorbate, calcium disodium EDTA, autolyzed yeast extract, natural and artificial flavor), red onion, green bell pepper, canola oil, garlic powder, Italian seasoning, kosher salt, ground black pepper"
151,Spinach Alfredo Pizza,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Saucey Saute, 1 slice, 230.91, 8.24, 29.69, 8.97,"Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.",Dairy/Mushroom/Soy/Egg/Gluten/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning"
152,Hot & Sour Soup,[],"Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 cup, 80.1, 3.44, 11.53, 1.58,"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",Soybean Oil/Mushroom/Gluten/Soy/Wheat,"Woodear mushroom, corn starch, bamboo shoots, natural rice vinegar, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), gluten-free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), canola/olive oil blend, ginger, Huy Fong chili garlic sauce (chili, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum), iodized salt, ground white pepper, beet sugar"
153,Corn Chowder Soup,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 cup, 175.06, 8.2, 20.92, 3.92,"Creamy chowder with corn, pearled barley, onions, and bell peppers",Dairy/Gluten/Wheat/Mushroom,"2% fat milk, corn, heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), creamed corn (corn, water, sugar, modified corn starch, salt.), vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), green bell pepper, yellow onion, corn starch, pearled barley, red bell pepper, canola oil, garlic powder, iodized salt, ground white pepper"
154,Chili Beans,"['Vegan', 'Nourish']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 cup, 154.59, 1.9, 29.74, 6.92,"Pinto beans simmered in broth with green chiles, corn and spices",Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin"
155,Orzo and Feta Salad,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1/2 cup, 158.4, 8.79, 15.39, 5.95,"Orzo pasta mixed with eggplant, bell peppers, feta cheese, and spices",Dairy/Gluten/Wheat,"Eggplant, feta cheese, red and yellow bell peppers, orzo pasta (contains wheat/gluten), red onion, canola/olive oil blend, lemon juice, fresh basil, garlic, iodized salt, ground black pepper"
156,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
157,Classic California Pasta Salad,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
158,CHEF CHOICE SALAD,[],"Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
159,Caesar Salad,['Halal'],"Tuesday, February 15, 2022",Lunch,Fresh Inspirations, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
160,Deli Bar,[],"Tuesday, February 15, 2022",Lunch,Saucey, 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
161,Brownies,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Harvest Bakery, each, 250, 12, 35, 2,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, vegetable shortening, cocoa, dried egg whites, corn starch, dried whey, soy flour, artificial flavor, salt, water, soybean oil. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
162,Chocolate Chunk Cookie,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Lunch,Harvest Bakery, each, 190, 12, 34, 2,"Made in a facility that also processes peanuts and tree nuts (almonds, coconut, macadamia nuts, pecans, walnuts)",Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (bleached wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate chunks (sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavors), margarine (palm oil, water, contains 2% of less of salt, mono- and diglycerides, natural flavor [includes milk], citric acid, vitamin A palmitate, beta carotene), sugar, invert sugar, eggs, corn syrup, contains 2% or  less of butter (cream [milk], salt), whey, modified corn starch, chicory root fiber, natural and artificial flavor, molasses, baking soda, salt"
163,Vegan Lemon Drop Cookie,['Vegan'],"Tuesday, February 15, 2022",Lunch,Harvest Bakery, 1 cookie, 157, 10, 37, 2,,Alcohol [vanilla extract]/Gluten/Wheat,"Unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, pure lemon extract, grape juice, rice dextrins, sea salt, baking powder"
164,Lasagna Bolognese,[],"Tuesday, February 15, 2022",Dinner,Seasonality West, serving, 75.88, 1.61, 13.24, 3.39,"Layers of lasagna noodles, a blend of cheeses, our house marinara sauce, and pepperoni",Dairy/Egg/Mushroom/Alcohol/Gluten/Wheat,"Bolognese sauce (house marinara sauce [tomatoes, tomato paste, yellow onion, red cooking wine, gluten-free vegetable broth {contains mushroom}, national starch, garlic, beet sugar, canola oil, whole fennel seed, Italian seasoning, ground black pepper, Mediterranean oregano, basil], ground beef, Italian pork sausage [pork, water. Contains less than 2% of dextrose, flavoring, paprika, salt, spice, turbinado sugar], seasoned salt [iodized salt, onion powder, garlic powder, beet sugar, ground white pepper, ground paprika]), cheese filling (low fat cottage cheese, cage free eggs, whole milk Ricotta, garlic, Parmesan cheese, seasoned salt [salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika], parsley flakes), Mozzarella cheese, Parmesan cheese, lasagna pasta (contains wheat/gluten and egg), pepperoni (pork, beef, salt, contains 2% or less of water, spice, seasoning [cane sugar, celery juice powder], seasoning [extractives of paprika, natural spice extractives], lactic acid starter culture)"
